id,block,german,spanish,pos,note,prio
94,2,ich warte,espero,verb,yo,2
95,2,du wartest,esperás,verb,vos,2
96,2,er/sie wartet,espera,verb,él/ella,3
97,2,ich schaue,miro,verb,yo,2
98,2,du schaust,mirás,verb,vos,2
99,2,er/sie schaut,mira,verb,él/ella,3
100,2,ich höre (zu),escucho,verb,yo,2
101,2,du hörst (zu),escuchás,verb,vos,2
102,2,er/sie hört (zu),escucha,verb,él/ella,3
103,2,ich spreche,hablo,verb,yo,2
104,2,du sprichst,hablás,verb,vos,1
105,2,er/sie spricht,habla,verb,él/ella,2
106,2,ich esse,como,verb,yo,2
107,2,du isst,comés,verb,vos,2
108,2,er/sie isst,come,verb,él/ella,3
109,2,ich nehme / ich trinke,tomo,verb,yo,2
110,2,du nimmst / du trinkst,tomás,verb,vos,2
111,2,er/sie nimmt / trinkt,toma,verb,él/ella,2
112,2,ich kaufe,compro,verb,yo,2
113,2,du kaufst,comprás,verb,vos,3
114,2,er/sie kauft,compra,verb,él/ella,3
115,2,ich zahle,pago,verb,yo,2
116,2,du zahlst,pagás,verb,vos,2
117,2,er/sie zahlt,paga,verb,él/ella,3
118,2,ich suche,busco,verb,yo,2
119,2,du suchst,buscás,verb,vos,3
120,2,er/sie sucht,busca,verb,él/ella,3
121,2,ich verstehe,entiendo,verb,yo,1
122,2,du verstehst,entendés,verb,vos,2
123,2,er/sie versteht,entiende,verb,él/ella,2
124,2,ich brauche,necesito,verb,yo,1
125,2,du brauchst,necesitás,verb,vos,2
126,2,er/sie braucht,necesita,verb,él/ella,2
127,2,mir gefällt / ich mag,me gusta,verb,yo,1
128,2,dir gefällt / du magst,te gusta,verb,vos,2
129,2,ihm/ihr gefällt / er mag,le gusta,verb,él/ella,2
130,2,es gibt,hay,verb,unpersönlich,1
131,2,ich war / ich ging,fui,verb,pretérito yo (ser e ir),2
132,2,ich war (Zustand / Ort),estuve,verb,pretérito yo,3
133,2,ich hatte,tuve,verb,pretérito yo,3
134,2,ich wollte,quise,verb,pretérito yo,3
135,3,was?,qué,func,Fragewort,1
136,3,wer?,quién,func,Fragewort; Plural: quiénes,2
137,3,wo?,dónde,func,Fragewort,1
138,3,wann?,cuándo,func,Fragewort,2
139,3,wie?,cómo,func,Fragewort,1
140,3,wie viel?,cuánto,func,Fragewort; auch cuánta / cuántos / cuántas,1
141,3,warum?,por qué,func,Fragewort; Antwort: porque,1
142,3,welcher? / welche?,cuál,func,Fragewort; Plural: cuáles,2
143,3,klar / natürlich,claro,adv,als Antwort: ¡claro!,1
144,3,okay / los geht's,dale,phrase,umgangssprachlich; typisch porteño,1
145,3,na gut / okay,bueno,phrase,als Antwort; Adjektiv „gut“ in Block 7,1
146,3,toll / super,bárbaro,adj,umgangssprachlich; als Antwort: ¡bárbaro!,1
147,3,so lala / mehr oder weniger,más o menos,phrase,,2
148,3,keine Ahnung,ni idea,phrase,umgangssprachlich,2
149,3,und du?,¿y vos?,phrase,voseo,1
150,3,kann sein / vielleicht,puede ser,phrase,,2
151,3,na klar / logisch,obvio,adj,umgangssprachlich; als Antwort: ¡obvio!,3
152,3,im Ernst? / echt?,¿en serio?,phrase,,3
153,3,ich weiß nicht,no sé,phrase,sé = ich weiß (Block 2),1
154,3,kommt drauf an,depende,phrase,wörtlich: es hängt ab,3
155,4,das Haus / das Zuhause,casa,noun,f; en casa = zu Hause,1
156,4,das Zimmer,cuarto,noun,m; porteño auch: pieza; auch: das Viertel (1/4),2
157,4,die Straße,calle,noun,f,1
158,4,das Viertel / der Stadtteil,barrio,noun,m,2
159,4,der Bus,colectivo,noun,m; porteño für autobús (auch: bondi),1
160,4,die U-Bahn,subte,noun,"m; porteño, kurz für subterráneo",1
161,4,das Geld,plata,noun,f; porteño für dinero,1
162,4,das Essen,comida,noun,f,1
163,4,das Wasser,agua,noun,f; el agua,1
164,4,der Kaffee,café,noun,m,1
165,4,das Brot,pan,noun,m,1
166,4,das Fleisch,carne,noun,f,2
167,4,der Wein,vino,noun,m,2
168,4,das Bier,cerveza,noun,f,2
169,4,der Morgen / der Vormittag,mañana,noun,f; la mañana (als Adverb = morgen),2
170,4,der Nachmittag,tarde,noun,f; la tarde,2
171,4,die Nacht / der Abend,noche,noun,f,2
172,4,die Stunde / die Uhrzeit,hora,noun,f; ¿qué hora es?,2
173,4,die Woche,semana,noun,f,2
174,4,der Monat,mes,noun,m,3
175,4,das Jahr,año,noun,m,2
176,4,der Montag,lunes,noun,m; el lunes = am Montag,1
177,4,der Dienstag,martes,noun,m,1
178,4,der Mittwoch,miércoles,noun,m,1
179,4,der Donnerstag,jueves,noun,m,1
180,4,der Freitag,viernes,noun,m,1
181,4,der Samstag,sábado,noun,m,1
182,4,der Sonntag,domingo,noun,m,1
183,4,der Januar,enero,noun,m; en enero = im Januar,2
184,4,der Februar,febrero,noun,m,2
185,4,der März,marzo,noun,m,2
186,4,der April,abril,noun,m,2
187,4,der Mai,mayo,noun,m,2
188,4,der Juni,junio,noun,m,2
189,4,der Juli,julio,noun,m,2
190,4,der August,agosto,noun,m,2
191,4,der September,septiembre,noun,m,2
192,4,der Oktober,octubre,noun,m,2
193,4,der November,noviembre,noun,m,2
194,4,der Dezember,diciembre,noun,m,2
195,4,null,cero,func,,1
196,4,eins,uno,func,vor Nomen: un / una,1
197,4,zwei,dos,func,,1
198,4,drei,tres,func,,1
199,4,vier,cuatro,func,,1
200,4,fünf,cinco,func,,1
201,4,sechs,seis,func,,1
202,4,sieben,siete,func,,1
203,4,acht,ocho,func,Zahl (in B6: die Tangofigur),1
204,4,neun,nueve,func,,1
205,4,zehn,diez,func,,1
206,4,elf,once,func,,1
207,4,zwölf,doce,func,,1
208,4,dreizehn,trece,func,,1
209,4,vierzehn,catorce,func,,1
210,4,fünfzehn,quince,func,,1
211,4,sechzehn,dieciséis,func,,1
212,4,siebzehn,diecisiete,func,,1
213,4,achtzehn,dieciocho,func,,1
214,4,neunzehn,diecinueve,func,,1
215,4,zwanzig,veinte,func,"21 = veintiuno, 22 = veintidós …",1
216,4,dreißig,treinta,func,31 = treinta y uno,1
217,4,vierzig,cuarenta,func,,1
218,4,fünfzig,cincuenta,func,,1
219,4,sechzig,sesenta,func,,1
220,4,siebzig,setenta,func,,1
221,4,achtzig,ochenta,func,,1
222,4,neunzig,noventa,func,,1
223,4,hundert,cien,func,101 = ciento uno,1
224,4,nah / in der Nähe,cerca,adv,cerca de = nahe bei,2
225,4,weit / weit weg,lejos,adv,lejos de = weit von,2
226,4,links / die linke Seite,izquierda,noun,f; a la izquierda = nach links,2
227,4,rechts / die rechte Seite,derecha,noun,f; a la derecha = nach rechts,2
228,4,vorwärts / nach vorne,adelante,adv,auch: „herein!“,3
229,4,hinten / zurück,atrás,adv,para atrás = rückwärts,3
230,4,die Ecke / die Straßenecke,esquina,noun,f,2
231,4,der Platz,plaza,noun,f,3
232,4,der Park,parque,noun,m,3
233,4,das Taxi,taxi,noun,m,2
234,4,der Bahnhof / die Station,estación,noun,f; auch U-Bahn-Station,2
235,4,die Fahrkarte / das Ticket,boleto,noun,m,3
236,4,die Stadt,ciudad,noun,f,3
237,4,das Zentrum / die Innenstadt,centro,noun,m; el centro = Stadtzentrum,2
238,4,die Avenue / die Hauptstraße,avenida,noun,f; Av. Corrientes,3
239,4,der Häuserblock,cuadra,noun,f; porteño Entfernungsmaß: a dos cuadras,2
240,4,die Minute,minuto,noun,m,2
241,4,der Tag,día,noun,m; buen día,2
242,4,das Frühstück,desayuno,noun,m,3
243,4,der Mate,mate,noun,"m; Mate-Tee, argentinisches Nationalgetränk",2
244,4,die Empanada,empanada,noun,f; gefüllte Teigtasche,2
245,5,der Mann,hombre,noun,m,2
246,5,die Frau,mujer,noun,f,2
247,5,der Junge,chico,noun,m; als Adjektiv: klein,3
248,5,das Mädchen,chica,noun,f,3
249,5,der Herr,señor,noun,m; Anrede,2
250,5,die Frau / die Dame,señora,noun,f; Anrede,2
251,5,der Freund,amigo,noun,m,2
252,5,die Freundin,amiga,noun,f,2
253,5,die Leute,gente,noun,f; im Spanischen Singular,2
254,5,die Familie,familia,noun,f,2
255,5,der Vater,padre,noun,m; umgangssprachlich: papá,2
256,5,die Mutter,madre,noun,f; umgangssprachlich: mamá,2
257,5,der Bruder,hermano,noun,m,2
258,5,die Schwester,hermana,noun,f,2
259,5,der Name,nombre,noun,m,2
260,5,der Kopf,cabeza,noun,f,2
261,5,das Auge,ojo,noun,m,2
262,5,die Hand,mano,noun,f; trotz -o feminin,2
263,5,der Arm,brazo,noun,m,3
264,5,der Fuß,pie,noun,m,2
265,5,das Bein,pierna,noun,f,3
266,5,die Brust,pecho,noun,m,3
267,5,der Rücken,espalda,noun,f,2
268,5,die Schulter,hombro,noun,m,3
269,5,das Gewicht,peso,noun,m; auch die Währung (der Peso),2
270,5,der Sohn,hijo,noun,m,2
271,5,die Tochter,hija,noun,f,2
272,5,der Ehemann,marido,noun,m,3
273,5,die Ehefrau,esposa,noun,f; im Alltag meist: mi mujer,3
274,5,der feste Freund,novio,noun,m; auch: der Bräutigam,2
275,5,die feste Freundin,novia,noun,f; auch: die Braut,2
276,5,der Großvater / der Opa,abuelo,noun,m,3
277,5,die Großmutter / die Oma,abuela,noun,f,3
278,5,der Partner / die Partnerin,pareja,noun,"f; Lebenspartner, auch: das Paar",2
279,5,der Nachbar,vecino,noun,m,2
280,5,der Bursche / der Kerl,pibe,noun,"m; Lunfardo, umgangssprachlich für chico",2
281,5,das Mädel,piba,noun,"f; Lunfardo, umgangssprachlich für chica",3
282,5,der Mund,boca,noun,f,3
283,5,die Nase,nariz,noun,f,3
284,5,das Ohr,oreja,noun,f,3
285,5,das Haar / die Haare,pelo,noun,m,3
286,5,das Gesicht,cara,noun,f,3
287,5,der Hals,cuello,noun,m,3
288,5,der Finger,dedo,noun,m; auch: die Zehe,3
289,5,das Knie,rodilla,noun,f,3
290,5,die Taille,cintura,noun,f,3
291,5,das Herz,corazón,noun,m,3
292,5,der Körper,cuerpo,noun,m,3
293,5,das Alter,edad,noun,f,3
294,5,groß (gewachsen) / hoch,alto,adj,,3
295,5,klein (gewachsen) / niedrig,bajo,adj,,3
296,5,dünn / schlank,flaco,adj,"umgangssprachlich auch Anrede: che, flaco",2
297,5,jung,joven,adj,auch: der/die Jugendliche,3
298,5,der Porteño (aus Buenos Aires),porteño,noun,"m; Bewohner von Buenos Aires, auch Adjektiv",2
299,5,deutsch / der Deutsche,alemán,adj,"auch Nomen, m",1
300,5,argentinisch / der Argentinier,argentino,adj,"auch Nomen, m",2
301,5,der Ausländer / ausländisch,extranjero,noun,m; auch Adjektiv,3
302,5,ich heiße,me llamo,phrase,yo,1
303,5,wie heißt du?,¿cómo te llamás?,phrase,vos,1
304,5,ich bin aus / ich komme aus,soy de,phrase,yo,1
305,6,ich tanze,bailo,verb,yo,1
306,6,du tanzt,bailás,verb,vos,1
307,6,er/sie tanzt,baila,verb,él/ella,2
308,6,ich gehe (zu Fuß),camino,verb,yo,2
309,6,du gehst (zu Fuß),caminás,verb,vos,3
310,6,er/sie geht (zu Fuß),camina,verb,él/ella,3
311,6,die Umarmung,abrazo,noun,m; auch die Tanzhaltung,1
312,6,die Tanzfläche,pista,noun,f,1
313,6,der Tisch,mesa,noun,f,2
314,6,die Tanda,tanda,noun,f; Set aus 3–4 Stücken,1
315,6,die Cortina,cortina,noun,"f; Zwischenmusik zwischen zwei Tandas, wörtlich Vorhang",1
316,6,das Orchester,orquesta,noun,f,2
317,6,der Liedtext,letra,noun,f; auch: der Buchstabe,3
318,6,der Takt,compás,noun,m,2
319,6,die Pause,pausa,noun,f,3
320,6,die Milonga,milonga,noun,f; Tanzabend und Tanzstil,1
321,6,der Walzer,vals,noun,m; Tango-Vals,2
322,6,der Tango,tango,noun,m,2
323,6,das Kopfnicken,cabeceo,noun,m; Aufforderung per Blick und Nicken,2
324,6,der Blick,mirada,noun,f,2
325,6,die Erlaubnis / darf ich?,permiso,noun,m; als Floskel beim Vorbeigehen oder Auffordern,1
326,6,danke,gracias,phrase,,1
327,6,tanzt du? (Tanzaufforderung),¿bailás?,phrase,Einladung an der Mesa; auch: ¿bailamos?,1
328,6,noch ein Tango,un tango más,phrase,,1
329,6,langsam (Adverb),despacio,adv,,1
330,6,hör zu,escuchá,verb,imperativo vos,1
331,6,noch nicht,todavía no,phrase,,2
332,6,entschuldige,disculpá,verb,imperativo vos,2
333,6,schön / hübsch,lindo,adj,sehr häufig in Buenos Aires; auch als Kompliment,2
334,6,ich fühle / ich spüre,siento,verb,yo,2
335,6,du fühlst / du spürst,sentís,verb,vos,3
336,6,er/sie fühlt / spürt,siente,verb,él/ella,3
337,6,ich folge / ich mache weiter,sigo,verb,yo,2
338,6,du folgst / du machst weiter,seguís,verb,vos,2
339,6,er/sie folgt / macht weiter,sigue,verb,él/ella,3
340,6,ich führe / ich bringe,llevo,verb,yo; beim Tanz: führen,2
341,6,du führst / du bringst,llevás,verb,vos; beim Tanz: führen,3
342,6,er/sie führt / bringt,lleva,verb,él/ella; beim Tanz: führen,3
343,6,ich drehe mich,giro,verb,yo,2
344,6,du drehst dich,girás,verb,vos,3
345,6,er/sie dreht sich,gira,verb,él/ella,3
346,6,ich kreuze,cruzo,verb,yo; beim Tanz: Kreuzschritt,2
347,6,du kreuzt,cruzás,verb,vos; beim Tanz: Kreuzschritt,3
348,6,er/sie kreuzt,cruza,verb,él/ella; beim Tanz: Kreuzschritt,3
349,6,ich halte an,paro,verb,yo,2
350,6,du hältst an,parás,verb,vos,3
351,6,er/sie hält an,para,verb,él/ella; nicht die Präposition para,3
352,6,der Schritt,paso,noun,m,2
353,6,die Drehung,vuelta,noun,f; auch: die Runde / der Rückweg,2
354,6,der Ocho,ocho,noun,"m; Tangofigur (Achterschritt), nicht die Zahl",2
355,6,die Ronda,ronda,noun,"f; Tanzrichtung, der Kreis auf der Pista",2
356,6,das Bandoneon,bandoneón,noun,m,3
357,6,der Milonguero,milonguero,noun,m; f: milonguera; erfahrener Milonga-Tänzer,3
358,6,die letzte Tanda,la última tanda,phrase,meist La Cumparsita,2
359,6,gehen wir?,¿vamos?,phrase,auch: auf die Pista?,1
360,6,noch einmal,otra vez,phrase,,2
361,6,schau,mirá,verb,imperativo vos; auch Füllwort wie „schau mal“,1
362,6,warte,esperá,verb,imperativo vos,2
363,6,folg mir,seguime,verb,imperativo vos,2
364,6,fühl / spür,sentí,verb,imperativo vos,3
365,7,gut (Adverb),bien,adv,,1
366,7,schlecht (Adverb),mal,adv,,2
367,7,gut (Adjektiv),bueno,adj,,1
368,7,schlecht / böse,malo,adj,,2
369,7,wunderschön,hermoso,adj,,3
370,7,hässlich,feo,adj,,3
371,7,groß,grande,adj,,2
372,7,klein,chico,adj,porteño für pequeño; auch: der Junge (Block 5),2
373,7,müde,cansado,adj,,2
374,7,ruhig,tranquilo,adj,,2
375,7,zufrieden / froh,contento,adj,,2
376,7,traurig,triste,adj,,2
377,7,schwierig,difícil,adj,,2
378,7,leicht / einfach,fácil,adj,,2
379,7,die Wahrheit,verdad,noun,f,2
380,7,die Lüge,mentira,noun,f,3
381,7,neu,nuevo,adj,,2
382,7,alt,viejo,adj,,2
383,7,teuer,caro,adj,,1
384,7,billig,barato,adj,,1
385,7,heiß,caliente,adj,nur für Sachen (agua caliente); bei Personen = wütend / erregt (vermeiden!); mir ist heiß = tengo calor; Wetter: hace calor,3
386,7,kalt,frío,adj,,2
387,7,schnell,rápido,adj,,2
388,7,langsam (Adjektiv),lento,adj,,2
389,7,früh,temprano,adv,,2
390,7,spät,tarde,adv,auch: der Nachmittag (Block 4),2
391,7,offen / geöffnet,abierto,adj,,2
392,7,geschlossen,cerrado,adj,,2
393,7,voll,lleno,adj,,3
394,7,leer,vacío,adj,,3
395,7,die Tür,puerta,noun,f,3
396,7,der Stuhl,silla,noun,f,3
397,7,das Bett,cama,noun,f,2
398,7,das Licht,luz,noun,f,2
399,7,die Kleidung,ropa,noun,f,3
400,7,der Schuh,zapato,noun,m,2
401,7,das Hemd,camisa,noun,f,3
402,7,das Sakko / der Blazer,saco,noun,m; die Jacke = campera,3
403,7,das Telefon,teléfono,noun,m,3
404,7,der Schlüssel,llave,noun,f,2
405,7,das Papier,papel,noun,m,3
406,7,das Buch,libro,noun,m,3
407,7,die Musik,música,noun,f,2
408,7,die Arbeit,trabajo,noun,m,1
409,7,der Unterricht / die Klasse,clase,noun,f,2
410,7,der Lehrer,profesor,noun,m,2
411,7,der Arzt,médico,noun,m,2
412,7,das Krankenhaus,hospital,noun,m,3
413,7,die Apotheke,farmacia,noun,f,2
414,7,die Bank,banco,noun,m; Geldinstitut und Sitzbank,2
415,7,der Markt,mercado,noun,m,3
416,7,der Laden,tienda,noun,f; porteño im Alltag meist: negocio,3
417,7,die Bar,bar,noun,m,2
418,7,das Restaurant,restaurante,noun,m,3
419,7,bitte,por favor,phrase,,1
420,7,Entschuldigung / Verzeihung,perdón,phrase,,1
421,7,gern geschehen,de nada,phrase,,1
422,7,freut mich,mucho gusto,phrase,,2
423,7,bis später,hasta luego,phrase,,1
424,7,tschüss,chau,phrase,porteño; umgangssprachlich,1
425,7,guten Tag / guten Morgen,buen día,phrase,porteño für buenos días,1
426,7,gute Nacht / guten Abend,buenas noches,phrase,,1
427,7,nervös,nervioso,adj,,3
428,7,wütend / sauer,enojado,adj,,3
429,7,gelangweilt / langweilig,aburrido,adj,,3
430,7,glücklich,feliz,adj,,3
431,7,cool / toll,copado,adj,porteño; umgangssprachlich,2
432,7,das Bad / die Toilette,baño,noun,m,1
433,7,die Küche,cocina,noun,f,3
434,7,das Fenster,ventana,noun,f,3
435,7,das Handy,celular,noun,m; porteño für móvil,2
436,7,der Computer,computadora,noun,f; porteño für ordenador,3
437,7,das T-Shirt,remera,noun,f; porteño für camiseta,3
438,7,die Jacke,campera,noun,f; porteño für chaqueta,3
439,7,der Rock,pollera,noun,f; porteño für falda,3
440,7,die Tasche,bolso,noun,m; Handtasche = cartera,3
441,7,die Uhr,reloj,noun,m,3
442,7,das Geschenk,regalo,noun,m,3
443,7,das Foto,foto,noun,f,3
444,7,das Problem,problema,noun,m,2
445,7,die Frage,pregunta,noun,f,3
446,7,die Antwort,respuesta,noun,f,3
447,7,die Sache / das Ding,cosa,noun,f,2
448,7,der Moment,momento,noun,m,2
449,7,das Mal,vez,noun,f,2
450,7,der Ort,lugar,noun,m,2
451,7,die Welt,mundo,noun,m,3
452,7,das Leben,vida,noun,f,3
453,7,die Liebe,amor,noun,m,3
454,7,die Party / das Fest,fiesta,noun,f,3
455,7,der Geburtstag,cumpleaños,noun,m,3
456,7,der Club / die Disco,boliche,noun,m; porteño,3
457,7,der Job / die Arbeit (ugs.),laburo,noun,m; Lunfardo,1
458,7,ich wohne / lebe,vivo,verb,yo,1
459,7,du wohnst / lebst,vivís,verb,vos,2
460,7,er wohnt / lebt,vive,verb,él/ella,2
461,7,ich glaube,creo,verb,yo,2
462,7,du glaubst,creés,verb,vos,3
463,7,er glaubt,cree,verb,él/ella,3
464,7,ich denke,pienso,verb,yo,2
465,7,du denkst,pensás,verb,vos,3
466,7,er denkt,piensa,verb,él/ella,3
467,7,ich kenne,conozco,verb,yo,2
468,7,du kennst,conocés,verb,vos,2
469,7,er kennt,conoce,verb,él/ella,3
470,7,ich bevorzuge / mir ist lieber,prefiero,verb,yo,2
471,7,du bevorzugst / dir ist lieber,preferís,verb,vos,3
472,7,er bevorzugt / ihm ist lieber,prefiere,verb,él/ella,3
473,7,ich schlafe,duermo,verb,yo,2
474,7,du schläfst,dormís,verb,vos,3
475,7,er schläft,duerme,verb,él/ella,3
476,7,ich bestelle / bitte um,pido,verb,yo,2
477,7,du bestellst / bittest um,pedís,verb,vos,2
478,7,er bestellt / bittet um,pide,verb,él/ella,3
479,7,viel / sehr,mucho,adv,,1
480,7,wenig,poco,adv,,2
481,7,so viel / so sehr,tanto,adv,,3
482,7,so / auf diese Weise,así,adv,,2
483,7,dann / also,entonces,adv,,2
484,7,auch nicht,tampoco,adv,,2
485,7,vielleicht,quizás,adv,porteño umgangssprachlich auch: capaz,2
486,7,sicher / bestimmt,seguro,adv,,2
487,7,hallo,hola,phrase,,1
488,7,guten Tag (nachmittags),buenas tardes,phrase,,1
489,7,wie geht's dir?,¿cómo estás?,phrase,porteño auch: ¿cómo andás?,1
490,7,wie geht's? / na?,¿qué tal?,phrase,,2
491,7,alles gut?,¿todo bien?,phrase,,1
492,7,wir sehen uns / bis dann,nos vemos,phrase,,1
493,7,bis morgen,hasta mañana,phrase,,2
494,7,pass auf dich auf,cuidate,phrase,imperativo vos (cuidarse); Abschiedsgruß,2
495,7,wie schön!,¡qué lindo!,phrase,,2
496,7,wie toll! / super!,¡qué bueno!,phrase,,2
497,7,wie schade!,¡qué pena!,phrase,auch: ¡qué lástima!,3
498,7,genial! / super!,¡genial!,phrase,,3
499,7,Achtung! / Vorsicht!,¡ojo!,phrase,umgangssprachlich,1
500,7,he / du (Anrede),che,func,porteño; Anrede unter Freunden,1
501,8,die Werkstatt,taller,noun,m,1
502,8,der Schweißer,soldador,noun,m; f: soldadora,1
503,8,die Schweißnaht / das Schweißen,soldadura,noun,f,2
504,8,die Baustelle,obra,noun,f; auch: das Werk,1
505,8,die Firma / das Unternehmen,empresa,noun,f,2
506,8,die Metallbaufirma / der Metallbetrieb,metalúrgica,noun,f; umgangssprachlich: la metalúrgica,2
507,8,die Fabrik,fábrica,noun,f,3
508,8,der Chef,jefe,noun,m; f: jefa,1
509,8,der Vorarbeiter / der Verantwortliche,encargado,noun,m; f: encargada,2
510,8,der Kollege,compañero,noun,m; f: compañera; auch: der Gefährte,2
511,8,die Schicht,turno,noun,m; auch: der Termin (turno médico),1
512,8,die Arbeitszeit / der Zeitplan,horario,noun,m; horario de trabajo,2
513,8,das Gehalt / der Lohn,salario,noun,m; im Alltag meist: sueldo (gleiche Form wie „ich schweiße“),2
514,8,der freie Tag,franco,noun,m; porteño; tener franco = frei haben,1
515,8,der Feiertag,feriado,noun,m; Argentinien hat viele feriados,2
516,8,der Vertrag,contrato,noun,m,3
517,8,das Mittagessen,almuerzo,noun,m,2
518,8,die Sicherheit,seguridad,noun,f; zapatos de seguridad,3
519,8,der Helm,casco,noun,m,1
520,8,die Handschuhe,guantes,noun,m Plural; Singular: guante,1
521,8,die Schutzbrille,anteojos de seguridad,noun,m Plural; anteojos = porteño für gafas,2
522,8,die Schweißmaske / die Maske,máscara,noun,f; máscara de soldar,3
523,8,die Sicherheitsschuhe,botines,noun,m Plural; botines de seguridad; auch: Fußballschuhe,2
524,8,die Vorsicht,cuidado,noun,m; ¡cuidado! = Vorsicht!,1
525,8,die Gefahr,peligro,noun,m; ¡peligro! = Gefahr!,1
526,8,das Feuer,fuego,noun,m,2
527,8,die Hitze,calor,noun,m; hace calor = es ist heiß; tengo calor = mir ist heiß,2
528,8,der Funke,chispa,noun,f,3
529,8,der Stahl,acero,noun,m; acero inoxidable = Edelstahl,2
530,8,das Eisen,hierro,noun,m,2
531,8,das Blech,chapa,noun,f; auch: das Nummernschild,2
532,8,das Rohr,caño,noun,m; porteño für tubo,2
533,8,das Werkstück / das Teil,pieza,noun,f; porteño auch: das Zimmer,2
534,8,das Werkzeug,herramienta,noun,f,1
535,8,die Maschine,máquina,noun,f; máquina de soldar = Schweißgerät,3
536,8,der Winkelschleifer / die Flex,amoladora,noun,f,2
537,8,die Bohrmaschine,taladro,noun,m,3
538,8,der Hammer,martillo,noun,m,3
539,8,der Schraubenschlüssel,llave,noun,f; auch: der Schlüssel (Block 7); llave inglesa = Engländer,2
540,8,die Schraube,tornillo,noun,m,2
541,8,die Schraubenmutter,tuerca,noun,f,3
542,8,das Maßband,cinta métrica,noun,f,3
